Workshop,Date,Time,Mode,registration_link,description
"R for Lunch: getting started (import data, data wrangling)","Thu, Aug 31",12:30pm - 1:30pm,In-Person,https://duke.libcal.com/event/11002152,"Part of the RFun Series. R for Lunch is a one-hour lunch-time series designed to help people learn R for reproducible computational thinking. R is a data science and data visualization tool which, when combined with RStudio, the Tidyverse, and Quarto, provides a powerful and flexible environment for reproducible research. Note: Lunch will NOT be provided but you are welcome to bring your own!

Register in advance. Meet in Person.  Recordings will be shared on a delayed schedule. This event is open to non-Duke participants. 

R for Lunch (1 hour each)
- Thursday - 8/31/23 ; 12:30 ; import data / data wrangling with dplyr
- Friday - 9/1/23 ; 12:30 ; data wrangling with dplyr
- Friday - 9/8/23 ; 12:30 ; Visualization with ggplot2
- Friday - 9/15/23 ; 12:30 ; ai-assisted coding ; interactive viz (HTML Widgets, ObservableJS)
- Friday - 9/22/23 ; 12:30 ; Tidy data ; pivot, join, iteration part1
- Friday - 9/29/23 ; 12:30 ; functions & purrr; iteration part2
- Friday - 10/6/23 ; 1:30 ; regression and tidymodels  

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Science"
R for Lunch: data wrangling with dplyr,"Fri, Sep 01",12:30pm - 1:30pm,In-Person,https://duke.libcal.com/event/11002159,"Part of the Rfun Series. R for Lunch is a one-hour lunch-time series designed to help people learn R for reproducible computational thinking. R is a data science and data visualization tool which, when combined with RStudio, the Tidyverse, and Quarto, provides a powerful and flexible environment for reproducible research. Note: Lunch will NOT be provided but you are welcome to bring your own!

Register in advance. Meet in Person.  Recordings will be shared on a delayed schedule. This event is open to non-Duke participants.

R for Lunch (1 hour each)
- Thursday - 8/31/23 ; previous session
- Friday - 9/1/23 ; 12:30 ; data wrangling with dplyr (builds on previous sessions)
- Friday - 9/8/23 ; 12:30 ; Visualization with ggplot2
- Friday - 9/15/23 ; 12:30 ; ai-assisted coding ; interactive viz (HTML Widgets, ObservableJS)
- Friday - 9/22/23 ; 12:30 ; Tidy data ; pivot, join, iteration part1
- Friday - 9/29/23 ; 12:30 ; functions & purrr; iteration part2
- Friday - 10/6/23 ; 1:30 ; regression and tidymodels  

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Science"
R for Lunch: visualization with ggplot2,"Fri, Sep 08",12:30pm - 1:30pm,In-Person,https://duke.libcal.com/event/11002162,"Part of the Rfun Series. R for Lunch is a one-hour lunch-time series designed to help people learn R for reproducible computational thinking. R is a data science and data visualization tool which, when combined with RStudio, the Tidyverse, and Quarto, provides a powerful and flexible environment for reproducible research. Note: Lunch will NOT be provided but you are welcome to bring your own!

Register in advance. Meet in Person.  Recordings will be shared on a delayed schedule. This event is open to non-Duke participants.

R for Lunch (1 hour each)
- previous sessions (8/31 & 9/1)- Friday - 9/8/23 ; 12:30 ; Visualization with ggplot2  (builds on previous sessions)
- Friday - 9/15/23 ; 12:30 ; ai-assisted coding ; interactive viz (HTML Widgets, ObservableJS)
- Friday - 9/22/23 ; 12:30 ; Tidy data ; pivot, join, iteration part1
- Friday - 9/29/23 ; 12:30 ; functions & purrr; iteration part2
- Friday - 10/6/23 ; 1:30 ; regression and tidymodels  

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Science"
Tips for Effective Data Visualization,"Mon, Sep 11",6:00pm - 7:00pm,Online,https://duke.libcal.com/event/11004239,"Visualization is a powerful way to reveal patterns in data, attract attention, and get your message across to an audience quickly and clearly. But, there are many steps in that journey from exploration to information to influence, and many choices to make when putting it all together to tell your story. I will cover some basic guidelines for effective visualization, point out a few common pitfalls to avoid, and run through a critique and iterations of an existing visualization to help you start seeing better choices beyond the program defaults. This event is open to non-Duke participants.

This event is offered virtually. A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Visualization"
Intro to ArcGIS Pro,"Wed, Sep 13",10:00am - 12:00pm,Online,https://duke.libcal.com/event/11003805,"ArcGIS Pro is the latest flagship desktop GIS client application from Esri.  Compared to the earlier ArcMap interface, it has superior performance as a native 64-bit program. There are a few nice feature enhancements such as multiple layouts in a single project, and it's more fully integrated with ArcGIS Online.

ArcGIS Pro can help you analyze or visualize digital data that has a locational component, and we'll discuss starting points for obtaining data. Examples will focus on social science data and feature (vector) layers, but attendees are encouraged to ask questions regarding their own needs and will be welcome to make one-on-one appointments later for more focused instruction. This is an introductory class, and it's not necessary to be familiar with GIS software beforehand. This event is open to non-Duke participants.

Attendees should have access to ArcGIS Pro. These are the options for Duke affiliates:

OIT Download: Current Duke University students, faculty, and staff can get a free copy to install on their own Windows computer, or a Mac with virtual machine software installed (e.g., VMware or Parallels).
	Virtual Computing Manager (VCM) from Duke's Office of Information Technology (OIT) allows Duke users to check out a virtual machine with ArcGIS installed and connect via a remote connection.
For non-Duke affiliates, if you don't have access to a licensed copy of ArcGIS Pro through your institution, you can install a free 21-day trial version to allow you to use the sample data and follow through the instructions in this workshop.

This event is offered virtually. A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at anytime prior to the conclusion of the workshop.

Mapping & GIS"
R for Lunch: coding with ChatGPT,"Fri, Sep 15",12:30pm - 1:30pm,In-Person,https://duke.libcal.com/event/11002165,"Part of the Rfun Series. R for Lunch is a one-hour lunch-time series designed to help people learn R for reproducible computational thinking. R is a data science and data visualization tool which, when combined with RStudio, the Tidyverse, and Quarto, provides a powerful and flexible environment for reproducible research. Note: Lunch will NOT be provided but you are welcome to bring your own!

Register in advance. Meet in Person.  Recordings will be shared on a delayed schedule. This event is open to non-Duke participants

R for Lunch (1 hour each)
- previous sessions (8/3, 9/1, 9/8)- Friday - 9/15/23 ; 12:30 ; ai-assisted coding & interactive viz with HTML Widgets, ObservableJS ;  (builds on previous sessions)
- Friday - 9/22/23 ; 12:30 ; Tidy data ; pivot, join, iteration part1
- Friday - 9/29/23 ; 12:30 ; functions & purrr; iteration part2
- Friday - 10/6/23 ; 1:30 ; regression and tidymodels  

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Science"
Meeting Data Management and Sharing Plan Requirements,"Tue, Sep 19",1:00pm - 3:00pm,Online,https://duke.libcal.com/event/10998284,"There are many federal and private funders who require data management and sharing plans as part of a grant application, including NIH who recently implemented a new Data Management and Sharing Policy that went into effect on January 25, 2023. This workshop will cover the components of a data management plan, what makes a strong plan and how to adhere to it, and where to find guidance, tools, resources, and assistance for building funder-based plans. We will also discuss how to make data management plans actionable and meaningful living documents to support research integrity, reproducibility, reuse, and verification of results. This workshop is a collaboration of Duke University Libraries, the Office of Scientific Integrity, and the Medical Center Library and Archives. This event is open to non-Duke participants.

This workshop is eligible for the 200-level faculty and staff RCR. 

This event is offered virtually. A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Management"
Story Maps,"Wed, Sep 20",1:00pm - 3:00pm,In-Person,https://duke.libcal.com/event/11003732,"This workshop will help you get started telling stories with maps on the ArcGIS StoryMaps platform. This easy-to-use web application combines interactive maps with narrative text, images, and videos to provide a powerful communication tool for any project with a spatial component. We will explore the capabilities of the platform, share best practices for designing effective stories, and guide participants through the process of creating their own story maps.

No previous experience with GIS is necessary. This event is open to non-Duke participants. 

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Mapping & GIS"
Flourish for Simple Network Visualizations,"Thu, Sep 21",10:00am - 11:00am,Online,https://duke.libcal.com/event/11004260,"Flourish is an online tool for ""Beautiful and easy data visualization and storytelling"". There are an amazing variety of standard and unusual visualization types available, one of which is a network (node-link / graph) diagram. While Gephi is my tool of choice for complicated networks, Flourish works great for simpler networks – interactive on the web, or static in a PowerPoint slide. In this workshop I'll show you the required data format, how to import it into the tool, adjust visual properties, and export to an SVG file which can be edited in PowerPoint. This event is open to non-Duke participants. 

Expectations:

If you want to play along with the exercises during the session, it will save time for you to register for a free account on Flourish before you arrive: https://flourish.studio/
	If you need help with something during the session, you'll be expected to share your screen.
This event is offered virtually. A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at anytime prior to the conclusion of the workshop.

Data Visualization"
Tools for Data Management,"Thu, Sep 21",2:00pm - 4:00pm,Online,https://duke.libcal.com/event/10998307,"This workshop will first introduce data management practices for researchers to consider and apply throughout the research lifecycle. Good data management practices pertaining to planning, organization, documentation, storage and backup, sharing, citation, and preservation will be presented using examples that span disciplines. The second hour of this workshop will offer a mini “tour” of research data management tools including GitHub, LabArchives, and OSF and provide a framework for considering how to assess data management tools for future adoption. This event is open to non-Duke participants.

This event is offered virtually. A zoom link will be sent via email to registered participants to join the workshop.

The content of the workshop may be recorded. If you are uncomfortable with a recording being published, please contact the instructor at any time prior to the conclusion of the workshop.

Data Management, Data Science"
